# Pore network output format: 
num_nodes & num_node_metrics ; names of columns ; [num_nodes x num_node_metrics] array; num_edges & num_edge_metrics ; names of columns ; [num_edges x num_edge_metrics] array
6130 5
x y z void_volume solid_volume surface location n_cells
196.99 228.57 257.488	277	721	217.511	middle	1
168.49 181.028 274.438	404	533	160.799	middle	1
182.418 199.56 198.92	485	707	209.894	middle	1
246.44 300.197 147.405	419	610	179.787	top	1
115.651 283.51 173.31	2608	2443	765.179	middle	4
184.462 126.455 254.095	219	734	220.515	bottom	1
276.322 167.678 179.222	419	709	206.344	middle	1
150.808 182.603 271.517	388	724	216.684	middle	1
132.59 132.292 245.482	1927	2157	643.211	middle	3
154.91 130.84 251.702	291	740	220.443	middle	1
145.553 105.13 269.465	547	516	207.294	bottom	1
148.692 122.767 288.877	416	625	185.079	middle	1
171.72 121.518 268.895	135	183	56.8328	bottom	1
130.663 296.014 289.506	2633	2707	818.373	top	4
183.958 158.843 178.08	165	238	69.2608	middle	1
164.332 221.06 276.882	393	761	223.109	middle	1
176.875 226.445 246.698	501	727	220.589	middle	1
126.898 145.89 143.175	275	656	200.161	middle	1
117.8 188.17 150.41	284	731	219.245	middle	1
173.53 163 161.918	305	710	211.886	middle	1
128.39 158.85 157.487	344	565	169.409	middle	1
149.065 179.08 185.668	459	690	201.859	middle	1
194.45 168.723 303.317	345	631	220.129	middle	1
135.358 144.16 287.738	465	630	188.435	middle	1
235.375 112.61 273.515	478	533	159.201	bottom	1
247.293 211.293 275.863	359	740	219.158	middle	1
209.302 152.839 231.951	8057	7138	2142.88	middle	12
230.225 161.888 239.935	398	746	223.264	middle	1
238.915 127.96 260.898	340	723	217.117	middle	1
166.11 125.735 186.405	323	737	219.538	middle	1
187.81 135.945 235.935	408	727	209.97	middle	1
131.04 117.826 219.906	1283	1449	435.581	bottom	2
152.31 132.135 217.215	318	734	216.161	middle	1
167.488 186.282 182.352	306	737	218.921	middle	1
152.47 108.227 122.817	352	536	170.076	bottom	1
118.728 205.897 259.06	346	730	220.793	middle	1
182.087 277.445 248.745	472	615	182.858	middle	1
249.168 238.575 151.423	384	689	207.605	middle	1
111.082 248.135 240.418	612	676	201.413	middle	1
114.2 123.025 198.38	333	724	219.716	bottom	1
133.058 138.18 247.782	343	437	131.712	middle	1
133.485 113.1 194.385	523	723	216.945	bottom	1
182.843 154.127 280.657	254	732	220.433	middle	1
150.463 133.68 245.89	308	731	220.305	middle	1
195.988 128.278 218.278	458	701	208.121	middle	1
298.848 172.53 208.865	282	733	218.743	middle	1
140.76 122.808 236.746	1226	1069	320.639	bottom	2
134.455 173.472 232.687	2164	1902	580.586	middle	3
133.903 157.173 286.418	292	725	217.284	middle	1
158.096 168.207 240.865	5103	5541	1660.26	middle	8
178.43 217.775 259.507	306	737	218.856	middle	1
133.085 111.148 233.338	1696	1794	533.298	bottom	3
248.896 228.661 290.436	2921	2938	876.053	middle	4
166.282 130.762 241.635	348	682	206.359	middle	1
126.824 297.766 242.288	1752	1365	404.37	top	2
123.235 107.742 249.257	359	587	214.791	bottom	1
139.88 275.225 168.637	316	705	211.147	middle	1
133.032 162.515 213.775	256	719	219.493	middle	1
166.475 244.802 254.831	9194	8949	2688.44	middle	14
120.972 102.31 282.44	111	297	181.982	bottom	1
284.602 202.095 304.217	397	614	224.806	middle	1
254.155 173.832 197.485	260	725	219.557	middle	1
197.47 276.15 141.407	355	732	217.4	middle	1
210.162 133.124 265.816	1075	1515	450.519	middle	2
184.74 164.484 226.536	5866	5788	1723.88	middle	9
200.083 160.032 262.73	483	579	171.515	middle	1
178.075 239.68 292.135	362	714	214.382	middle	1
121.987 242.977 247.25	269	742	219.919	middle	1
107.134 227.707 292.135	294	628	212.27	middle	1
188.252 153.62 141.53	268	335	99.3783	middle	1
166.585 212.953 205.172	302	463	139.025	middle	1
119.828 168.592 289.292	2265	1846	555.186	middle	3
132.37 300.257 168.298	339	652	191.085	top	1
179.197 194.697 276.831	3476	3368	1005.73	middle	5
151.208 243.657 200.79	380	724	215.829	middle	1
144.662 194.295 216.27	291	722	216.574	middle	1
